name,amount
DĄBEK,4774
JURKIEWICZ,4768
BUJAK,4762
KRAKOWIAK,4744
LISIECKA,4741
JĘDRZEJCZAK,4727
MISIAK,4722
PILARSKA,4702
JAGIEŁŁO,4700
SOBIERAJ,4690
TWARDOWSKA,4684
WILCZEK,4677
GAWEŁ,4676
KARAŚ,4663
BIELAWSKA,4660
GUTOWSKA,4650
SKIBIŃSKA,4650
ŁUKASZEWSKA,4646
FLIS,4637
KAŁUŻA,4636
DRZEWIECKA,4621
STRZELCZYK,4617
KUBICA,4606
DĘBOWSKA,4599
STELMACH,4599
CYGAN,4593
ZIELONKA,4592
SOŁTYS,4558
TARNOWSKA,4543
CEBULA,4540
SKOCZYLAS,4538
SZCZEŚNIAK,4537
FALKOWSKA,4533
RACZYŃSKA,4524
BOBER,4512
BILSKA,4509
BARTOSIK,4507
FILIPEK,4507
PAKUŁA,4494
WASIAK,4477
JAKUBIAK,4474
STANEK,4434
GĄSIOROWSKA,4433
MIERZEJEWSKA,4433
KĘDZIORA,4432
MAJCHER,4425
SZWED,4425
GÓRNIAK,4412
KRUPIŃSKA,4409
NOWACZYK,4378
GUZIK,4368
STASZEWSKA,4366
WIĘCEK,4363
CISZEWSKA,4352
STOLARCZYK,4345
DROZDOWSKA,4343
RUSIN,4339
CZAPLA,4331
URBAŃCZYK,4330
KOPCZYŃSKA,4327
JAŚKIEWICZ,4325
GÓRAL,4311
WOLAK,4293
MATUSZAK,4283
KULIG,4270
KACZMARSKA,4267
GOŁĄB,4260
SŁOWIŃSKA,4254
CHOLEWA,4250
RUCIŃSKA,4250
MILCZAREK,4243
KAŁUŻNA,4238
SIEDLECKA,4238
ZWOLIŃSKA,4231
GRZYWACZ,4229
SŁAWIŃSKA,4226
ZAGÓRSKA,4224
KASZUBA,4223
FLOREK,4218
MODZELEWSKA,4212
MISZTAL,4209
JEZIERSKA,4201
MOTYKA,4192
PACZKOWSKA,4191
PAWLIKOWSKA,4187
ANDRZEJCZAK,4185
STACHURA,4185
MICHAŁEK,4181
PYTEL,4167
JACKOWSKA,4161
DZIUBA,4154
MALICKA,4154
PARTYKA,4150
DUBIEL,4142
WOJTAS,4131
JURKOWSKA,4127
PROKOP,4125
BOŻEK,4122
OLCZAK,4118
SOCHACKA,4115
SIERADZKA,4114
BIEŃKOWSKA,4106
GWÓŹDŹ,4105
ŚWIERCZYŃSKA,4104
KUCHTA,4097
GAŁKA,4080
KĘPA,4077
SZYSZKA,4072
BIELAK,4062
KUC,4060
PŁONKA,4051
JANUSZ,4047
IWAŃSKA,4041
ROSA,4034
JANKOWIAK,4033
SZCZERBA,4023
SKALSKA,4021
KNAPIK,4019
KWIECIŃSKA,4012
WOŚ,4012
CHOJNOWSKA,4011
MROCZKOWSKA,4009
SKÓRA,4000
STĘPNIAK,3998
PASZKOWSKA,3987
KOLASA,3984
SITEK,3980
SZATKOWSKA,3974
KRUSZEWSKA,3964
BRODA,3957
WYSZYŃSKA,3941
DUDZIK,3933
SUSKA,3920
CHMURA,3916
MAJKA,3914
FLORCZAK,3912
DEC,3901
DOMINIAK,3901
STANISŁAWSKA,3896
WŁODARSKA,3894
LENART,3893
CZECHOWSKA,3890
KOWALCZUK,3877
MICHALCZYK,3876
PUCHALSKA,3873
MAŃKOWSKA,3871
KAPUSTA,3865
TOMALA,3865
ZDUNEK,3859
SALAMON,3858
LIPKA,3848
TRZECIAK,3848
DUDZIAK,3846
FILIPOWICZ,3844
MOLENDA,3832
SKOWRONEK,3830
JANUSZEWSKA,3821
KOTOWSKA,3820
ADAMCZAK,3813
GŁOGOWSKA,3812
MAŚLANKA,3792
TOKARZ,3788
BUCZYŃSKA,3787
MROZEK,3782
NOGA,3776
KAWA,3773
AUGUSTYN,3767
ZIĘTEK,3765
KOŁAKOWSKA,3758
KOBUS,3757
ADAMEK,3755
KOPER,3743
KOGUT,3742
KITA,3741
ADAMUS,3738
STOLARSKA,3738
DOBRZYŃSKA,3734
PIECHOTA,3733
JAGIELSKA,3725
BĄKOWSKA,3724
KANIEWSKA,3720
ŻUK,3718
PILCH,3717
BANASIK,3713
KOZA,3709
GORCZYCA,3708
NIEMCZYK,3697
PRZYBYŁ,3689
JURCZAK,3683
WARCHOŁ,3683
BUDZYŃSKA,3670
GRZESIK,3669
CHUDZIK,3653
MACIĄG,3650
RUDZIŃSKA,3650
WYPYCH,3644
MALIK,3642
NIEDŹWIECKA,3642
ROBAK,3639
SOŁTYSIAK,3636
MIŚKIEWICZ,3633
PORĘBSKA,3631
BUCZKOWSKA,3630
JARZĄBEK,3628
KUŹMA,3628
SOJKA,3618
WIĄCEK,3609
DRABIK,3605
KALISZ,3599
STAŃCZAK,3599
KŁOSOWSKA,3596
KASPEREK,3589
STACHURSKA,3585
ADAMOWICZ,3583
MARCHEWKA,3568
KOPACZ,3559
GADOMSKA,3558
KIEŁBASA,3558
BARTNIK,3556
PIŁAT,3551
GOLEC,3544
RUDNIK,3544
BIAŁKOWSKA,3530
SZELĄG,3530
OLCZYK,3527
SURMA,3526
KUCIŃSKA,3525
OLEKSY,3524
DĄBKOWSKA,3523
TRACZ,3523
BALCERZAK,3520
OSSOWSKA,3518
BŁASZCZAK,3517
STACHOWICZ,3510
MOSKAL,3507
RYŚ,3507
MAGIERA,3498
WOLIŃSKA,3496
BIELSKA,3491
KORZENIOWSKA,3484
ZABŁOCKA,3483
BUDZIŃSKA,3481
RUDZKA,3477
NIEDZIELSKA,3475
SZYMKOWIAK,3473
DRÓŻDŻ,3470
RYBARCZYK,3469
KOS,3462
ADAMIAK,3460
ŻYŁA,3458
PRUS,3454
JAROS,3451
PIETRUSZKA,3450
GRUDZIEŃ,3443
RADECKA,3441
WOJTKOWIAK,3431
PIOTROWICZ,3430
KOSOWSKA,3429
GŁĄB,3420
PELC,3407
FRĄTCZAK,3405
PAWLICKA,3405
WOŹNICA,3403
LESIAK,3401
WARZECHA,3398
KUJAWSKA,3396
ŚLĘZAK,3396
CZERNIAK,3395
TRELA,3387
URBANEK,3387
SĘK,3386
KOSTECKA,3384
JURCZYK,3383
BIELIŃSKA,3376
TOMASIK,3371
SOBAŃSKA,3370
GRZEŚKOWIAK,3367
SEKUŁA,3364
KOZIK,3362
KRAKOWSKA,3361
BURY,3360
MIERZWA,3358
WOJTASIK,3350
WOŁOSZYN,3344
POLAŃSKA,3343
SOBOTA,3341
MACKIEWICZ,3339
STAWICKA,3338
KRUCZEK,3336
URBANOWICZ,3336
CZEKAJ,3334
PEŁKA,3332
SZUBA,3330
BANASZEK,3328
PIWOWARSKA,3328
KULIŃSKA,3327
BISKUP,3325
HERMAN,3324
KMIEĆ,3323
MILLER,3319
ROMAN,3317
LITWIN,3313
ŚWIĄTKOWSKA,3307
POGORZELSKA,3306
ŚMIGIELSKA,3295
KRASOWSKA,3293
GUT,3290
KAWECKA,3289
HOFFMANN,3287
ŚWIDER,3277
SCHMIDT,3262
GRUDZIŃSKA,3258
RATAJCZYK,3246
ROSZAK,3230
ALEKSANDROWICZ,3212
LORENC,3203
SKORUPA,3202
MAKUCH,3197
FURMAN,3195
WIŚNIOWSKA,3190
ŁUKASZEWICZ,3188
KWIATEK,3183
NAPIERAŁA,3181
IZDEBSKA,3177
ROSZKOWSKA,3177
JUSZCZYK,3176
BOGACZ,3168
SIWIEC,3164
SZWARC,3161
LISZKA,3160
WERNER,3160
PIĘTKA,3159
TOKARCZYK,3156
STUDZIŃSKA,3155
SZAREK,3154
SZOT,3152
KRUKOWSKA,3138
KAWKA,3127
JÓŹWIK,3123
KNAP,3122
JEZIORSKA,3112
TUROWSKA,3106
KRÓLAK,3099
KARCZ,3094
JAKUBCZYK,3093
WRZESIŃSKA,3086
PAPROCKA,3082
KUKLA,3078
ŻUCHOWSKA,3078
GACEK,3067
KĘDZIOR,3067
ROŻEK,3067
SIDOR,3067
WACH,3062
KRUSZYŃSKA,3058
BORYS,3054
GRODZKA,3052
LANGE,3050
BOBROWSKA,3048
KUSIAK,3042
CICHA,3035
MAŃKA,3033
KRASZEWSKA,3028
WOLNA,3023
SZELIGA,3017
NIEDZIELA,3015
MIELCAREK,3014
TKACZ,3013
ŚPIEWAK,3009
KOSMALA,3008
KORZENIEWSKA,3006
RUSEK,3006
GRABARCZYK,2986
KORCZAK,2986
SMOLEŃ,2984
GRZYBEK,2978
WOJDA,2978
MAZIARZ,2971
BOGDAŃSKA,2970
MAŁKOWSKA,2968
LIPIEC,2967
GĄSIOREK,2966
FILIP,2964
ROMAŃSKA,2963
RZEPECKA,2958
MAJKOWSKA,2950
SZYMANEK,2947
KOZAKIEWICZ,2943
PERKOWSKA,2943
RESZKA,2943
JAKUBIEC,2931
OLECH,2930
ROMANIUK,2930
PISAREK,2929
RADZISZEWSKA,2929
RYBKA,2929
STASZAK,2929
SZOPA,2929
ADAMIEC,2928
WASIELEWSKA,2928
WAJDA,2926
WAGNER,2923
PĘKALA,2922
POTOCKA,2922
SZKUDLAREK,2920
GŁADYSZ,2916
RACZKOWSKA,2915
NOWIŃSKA,2909
DROŻDŻ,2904
LEWIŃSKA,2904
PASZKIEWICZ,2904
ROGOZIŃSKA,2904
PLICHTA,2903
BUGAJSKA,2899
BARTOSZEK,2896
DUSZYŃSKA,2893
KAPUŚCIŃSKA,2893
PIECH,2893
GOLA,2891
KULPA,2889
ŚLEDŹ,2888
KONARSKA,2887
KAŹMIERSKA,2884
JANCZAK,2880
RODAK,2880
KUPIEC,2875
WOJTOWICZ,2868
STOKŁOSA,2866
KAWALEC,2858
SKONIECZNA,2858
BANASZAK,2856
BILIŃSKA,2856
OSOWSKA,2848
PUCHAŁA,2847
WYRZYKOWSKA,2845
SUCHECKA,2843
KURZAWA,2840
PIERZCHAŁA,2839
SUŁKOWSKA,2834
KĘPKA,2829
SZYMANOWSKA,2829
OLSZAK,2827
KOCHAŃSKA,2824
KAROLAK,2822
ROKICKA,2819
WRZOSEK,2814
SZCZUREK,2813
WOŹNA,2810
KALIŃSKA,2805
BRZESKA,2803
SOLECKA,2803
BUGAJ,2801
KOKOT,2799
KOKOSZKA,2792
BALICKA,2791
ŚWIERCZEK,2791
WASZKIEWICZ,2786
LASEK,2785
BRODOWSKA,2784
GOLIŃSKA,2783
JASKULSKA,2782
PASEK,2782
WÓJCIAK,2782
AMBROZIAK,2774
ORZEŁ,2773
WIELGUS,2773
BIAŁECKA,2769
