name,amount
KARIN,625
EUNIKA,624
DOBROCHNA,623
CRISTINA,616
DAGNA,616
JESSIKA,616
ORIANA,610
VIKTORIYA,606
MELISA,605
YEVA,599
MELISSA,594
ZLATA,589
ZOE,589
ALIAKSANDRA,586
ARINA,586
AUGUSTYNA,579
NATHALIE,578
FATIMA,572
LESŁAWA,571
LISA,570
VASYLYNA,570
JASMINA,568
GIULIA,565
SOLOMIIA,564
MAIA,563
WILHELMINA,558
CLARA,555
JASMIN,553
JULITTA,553
DINA,547
SELENA,546
MARIETA,545
EUFEMIA,544
ELISABETH,543
NIKOLINA,541
SYLWESTRA,537
LARISA,534
ELISA,532
SILVIA,531
YANINA,523
ERNESTYNA,520
NELLA,519
VERA,518
PETRONELA,516
ROZWITA,516
ADELINA,515
EVELINA,509
DANA,508
SYLVIA,507
VERANIKA,507
LEILA,504
LUDOMIRA,504
SAMANTHA,501
RADOSŁAWA,497
LILIYA,493
AURORA,488
NIKOLETA,486
CATHERINE,482
MIŁOSŁAWA,482
MELANIE,481
NELL,479
MIRANDA,472
NATASHA,471
IZOLDA,470
LAILA,470
VIVIEN,467
MAIIA,466
LETYCJA,462
MARIAM,460
KATHERINE,458
DOBROMIŁA,455
MARGOT,453
CHARLOTTE,449
SOFIYA,449
AKSANA,448
NIKA,448
EMA,447
INGRIDA,446
LILI,444
FRYDERYKA,443
SUSANNA,441
BENIGNA,438
VARVARA,436
KATHARINA,435
KAREN,433
ZENAIDA,427
KSENIYA,424
CYRYLA,423
LUCIA,422
NARCYZA,422
AGNES,421
ELZA,421
ELINA,418
ANIDA,417
AMINA,414
ISMENA,413
LAYLA,413
HALSZKA,412
TAISIIA,412
NOA,411
YAEL,409
ROKSOLANA,408
VALERYIA,405
KSYMENA,402
SCHOLASTYKA,401
ANDŻELINA,400
JACQUELINE,400
ANGELICA,397
JASMINE,397
CHIARA,394
RUTH,394
ARIADNA,393
JULIANA,392
MARTHA,392
LIANA,390
WALTRAUDA,388
BETINA,387
LIZA,387
HERMINA,386
JELENA,386
JESICA,386
ALESIA,383
ELVIRA,383
CHRISTINE,379
DELFINA,377
LIA,377
IWETTA,376
KRYSTSINA,371
TAISA,371
TAMAR,371
ALMA,370
ANICETA,366
DEBORA,366
ALIONA,361
BIBIANNA,361
IWETA,361
OTOLIA,361
TINA,361
CHRISTINA,360
VITALINA,360
GRACJA,357
LUKRECJA,356
MARGARET,354
ADAMINA,352
ISABELLE,350
MARIJA,350
PALINA,348
MATILDA,347
SAMIRA,347
IANA,345
NICOLETTA,345
AMY,341
MODESTA,341
PAOLA,341
RYTA,341
HIACYNTA,339
TAMILA,339
THI,339
VALERIA,339
LUDWINA,338
LUBOW,337
STEPHANIE,336
ILZA,335
LIZAVETA,334
MICHAL,334
NADINE,334
SZARLOTA,334
ANNE,332
LESYA,331
FRANCESCA,330
NADZEYA,329
WINCENTYNA,329
HIERONIMA,327
ISABEL,327
AIDA,326
PRAKSEDA,326
CHLOE,325
GAIA,325
KESJA,324
ŻANNA,322
VALIANTSINA,320
VITALIIA,320
ANDRZELIKA,319
YULIA,319
AMELIE,317
ZOYA,317
LUNA,314
JULIE,312
LUCJANNA,312
LUCY,311
AŁŁA,310
OXANA,309
WIELISŁAWA,309
IRENE,308
SERAFINA,305
ARIANNA,301
EMILIE,301
RACHEL,299
YASMIN,295
HERONIMA,294
WERA,292
LUISA,291
RACHELA,291
NATALYA,290
INGRYDA,288
NELLI,288
MARY,287
SOFIJA,287
ULYANA,283
ELENI,282
YARYNA,282
KSAWERA,281
ANIA,280
AURELA,280
EMILIIA,280
ANDRIANA,278
JOHANNA,278
IRMGARD,276
KAROLA,276
ROZA,275
LEONORA,274
CARLA,273
LARISSA,273
SONJA,273
ARLENA,272
CAMILLA,272
LEONA,271
NASTAZJA,270
SUSANNE,270
ALESSANDRA,269
VIVIENNE,269
DORIS,268
JOLENTA,268
LAURENCJA,267
MEGAN,267
SWITŁANA,266
ELIANA,265
SHARON,265
LEYLA,264
ANJA,263
LORENA,262
MIRONA,262
MADINA,261
ADI,260
DZIYANA,260
KARMEN,260
CORNELIA,259
NASTASSIA,258
HILDA,257
KATIA,257
MIKA,257
ALESSIA,255
ALOJZA,254
LILLI,254
PETRA,254
WŁODZIMIERA,253
ERWINA,252
AMIRA,251
ASTRID,250
NINO,247
AISHA,246
LUDMILA,246
MALIKA,246
URSULA,246
INESA,244
FABIOLA,239
ROSA,238
TADEUSZA,238
KRYSTIANA,237
LIDIYA,237
HELEN,236
NASTIA,236
KATARINA,235
SUSAN,235
GUSTAWA,234
YELIZAVETA,234
