,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
355,WANESA,KOBIETA,1211
356,HANKA,KOBIETA,1207
357,LINDA,KOBIETA,1206
358,LUBA,KOBIETA,1196
359,ANASTASIA,KOBIETA,1191
360,DŻESIKA,KOBIETA,1185
361,MARCJANNA,KOBIETA,1181
362,JENNIFER,KOBIETA,1169
363,ALA,KOBIETA,1165
364,MALINA,KOBIETA,1161
365,ANHELINA,KOBIETA,1154
366,NIKOL,KOBIETA,1154
367,GANNA,KOBIETA,1150
368,MAJKA,KOBIETA,1149
369,WIRGINIA,KOBIETA,1141
370,PATRICIA,KOBIETA,1137
371,KSENIIA,KOBIETA,1133
372,ZINAIDA,KOBIETA,1132
373,ISABELLA,KOBIETA,1121
374,MARITA,KOBIETA,1121
375,GLORIA,KOBIETA,1120
376,BALBINA,KOBIETA,1118
377,KUNEGUNDA,KOBIETA,1109
378,GALINA,KOBIETA,1106
379,SIMONA,KOBIETA,1084
380,ALISA,KOBIETA,1081
381,SEWERYNA,KOBIETA,1062
382,DAJANA,KOBIETA,1051
383,ANIKA,KOBIETA,1047
384,JANA,KOBIETA,1035
385,FILOMENA,KOBIETA,1028
386,EMANUELA,KOBIETA,1019
387,SABRINA,KOBIETA,999
388,MIRA,KOBIETA,997
389,HANNAH,KOBIETA,977
390,SVETLANA,KOBIETA,964
391,BERENIKA,KOBIETA,962
392,CARMEN,KOBIETA,953
393,CAROLINE,KOBIETA,946
394,KORNELA,KOBIETA,946
395,GABRIELLA,KOBIETA,939
396,NIKOLETTA,KOBIETA,939
397,DARIIA,KOBIETA,936
398,DARYA,KOBIETA,934
399,RAMONA,KOBIETA,928
400,BLANDYNA,KOBIETA,919
401,BENEDYKTA,KOBIETA,915
402,IWONNA,KOBIETA,914
403,LEONTYNA,KOBIETA,908
404,LUBOMIRA,KOBIETA,907
405,SVIATLANA,KOBIETA,906
406,BOGDANA,KOBIETA,898
407,ŻAKLINA,KOBIETA,898
408,LIGIA,KOBIETA,892
409,MARYIA,KOBIETA,892
410,AMALIA,KOBIETA,882
411,KIRA,KOBIETA,876
412,NELLY,KOBIETA,872
413,LIUDMILA,KOBIETA,871
414,DALIA,KOBIETA,866
415,GABRYELA,KOBIETA,865
416,ALICE,KOBIETA,858
417,VALENTINA,KOBIETA,855
418,NAOMI,KOBIETA,853
419,ZORIANA,KOBIETA,852
420,EMILA,KOBIETA,851
421,LILY,KOBIETA,851
422,MILANA,KOBIETA,848
423,ELIZABETH,KOBIETA,844
424,INA,KOBIETA,842
425,NADIYA,KOBIETA,838
426,BOHDANA,KOBIETA,837
427,INGRID,KOBIETA,831
428,ALICIA,KOBIETA,830
429,INGEBORGA,KOBIETA,830
430,MICHAELA,KOBIETA,827
431,SWIETŁANA,KOBIETA,822
432,SYBILLA,KOBIETA,818
433,IRMA,KOBIETA,816
434,IDALIA,KOBIETA,813
435,LYUDMYLA,KOBIETA,800
436,NELIA,KOBIETA,792
437,BIANCA,KOBIETA,788
438,DOMICELA,KOBIETA,786
439,CELESTYNA,KOBIETA,779
440,SNIZHANA,KOBIETA,771
441,TEKLA,KOBIETA,768
442,GRACJANA,KOBIETA,767
443,INKA,KOBIETA,767
444,JÓZEFINA,KOBIETA,764
445,VIKTORYIA,KOBIETA,757
446,HANA,KOBIETA,754
447,LILLY,KOBIETA,747
448,ROXANA,KOBIETA,744
449,YAROSLAVA,KOBIETA,739
450,VIOLETA,KOBIETA,738
451,MARGARITA,KOBIETA,733
452,KAYA,KOBIETA,732
453,VLADYSLAVA,KOBIETA,732
454,ELLA,KOBIETA,729
455,SŁAWA,KOBIETA,729
456,LEONIA,KOBIETA,727
457,BERNARDETA,KOBIETA,724
458,ŻANETTA,KOBIETA,723
459,LYUBOV,KOBIETA,713
460,MARGARETA,KOBIETA,702
461,CAROLINA,KOBIETA,695
462,ANZHELIKA,KOBIETA,694
463,MARIE,KOBIETA,694
464,ABIGAIL,KOBIETA,693
465,ARIANA,KOBIETA,687
466,BENITA,KOBIETA,685
467,BERTA,KOBIETA,684
468,MONICA,KOBIETA,678
469,EKATERINA,KOBIETA,668
470,LINA,KOBIETA,664
471,DOBRAWA,KOBIETA,661
472,ELA,KOBIETA,658
473,JESIKA,KOBIETA,654
474,KASANDRA,KOBIETA,645
475,ZOIA,KOBIETA,627
476,KARIN,KOBIETA,625
477,EUNIKA,KOBIETA,624
478,DOBROCHNA,KOBIETA,623
479,CRISTINA,KOBIETA,616
480,DAGNA,KOBIETA,616
481,JESSIKA,KOBIETA,616
482,ORIANA,KOBIETA,610
483,VIKTORIYA,KOBIETA,606
484,MELISA,KOBIETA,605
485,YEVA,KOBIETA,599
486,MELISSA,KOBIETA,594
487,ZLATA,KOBIETA,589
488,ZOE,KOBIETA,589
489,ALIAKSANDRA,KOBIETA,586
490,ARINA,KOBIETA,586
491,AUGUSTYNA,KOBIETA,579
492,NATHALIE,KOBIETA,578
493,FATIMA,KOBIETA,572
494,LESŁAWA,KOBIETA,571
495,LISA,KOBIETA,570
496,VASYLYNA,KOBIETA,570
497,JASMINA,KOBIETA,568
498,GIULIA,KOBIETA,565
499,SOLOMIIA,KOBIETA,564
500,MAIA,KOBIETA,563
501,WILHELMINA,KOBIETA,558
502,CLARA,KOBIETA,555
503,JASMIN,KOBIETA,553
504,JULITTA,KOBIETA,553
505,DINA,KOBIETA,547
506,SELENA,KOBIETA,546
507,MARIETA,KOBIETA,545
508,EUFEMIA,KOBIETA,544
509,ELISABETH,KOBIETA,543
510,NIKOLINA,KOBIETA,541
511,SYLWESTRA,KOBIETA,537
512,LARISA,KOBIETA,534
513,ELISA,KOBIETA,532
514,SILVIA,KOBIETA,531
515,YANINA,KOBIETA,523
516,ERNESTYNA,KOBIETA,520
517,NELLA,KOBIETA,519
518,VERA,KOBIETA,518
519,PETRONELA,KOBIETA,516
520,ROZWITA,KOBIETA,516
521,ADELINA,KOBIETA,515
522,EVELINA,KOBIETA,509
523,DANA,KOBIETA,508
524,SYLVIA,KOBIETA,507
525,VERANIKA,KOBIETA,507
526,LEILA,KOBIETA,504
527,LUDOMIRA,KOBIETA,504
528,SAMANTHA,KOBIETA,501
529,RADOSŁAWA,KOBIETA,497
530,LILIYA,KOBIETA,493
531,AURORA,KOBIETA,488
532,NIKOLETA,KOBIETA,486
533,CATHERINE,KOBIETA,482
534,MIŁOSŁAWA,KOBIETA,482
535,MELANIE,KOBIETA,481
536,NELL,KOBIETA,479
537,MIRANDA,KOBIETA,472
538,NATASHA,KOBIETA,471
539,IZOLDA,KOBIETA,470
540,LAILA,KOBIETA,470
541,VIVIEN,KOBIETA,467
542,MAIIA,KOBIETA,466
543,LETYCJA,KOBIETA,462
544,MARIAM,KOBIETA,460
545,KATHERINE,KOBIETA,458
546,DOBROMIŁA,KOBIETA,455
547,MARGOT,KOBIETA,453
548,CHARLOTTE,KOBIETA,449
549,SOFIYA,KOBIETA,449
