,Nazwisko aktualne,Liczba
0,NOWAK,100617
1,KOWALSKI,68061
2,WIŚNIEWSKI,54170
3,WÓJCIK,48786
4,KOWALCZYK,47992
5,KAMIŃSKI,46735
6,LEWANDOWSKI,45363
7,ZIELIŃSKI,44713
8,SZYMAŃSKI,43499
9,WOŹNIAK,43487
10,DĄBROWSKI,42454
11,KOZŁOWSKI,37068
12,MAZUR,34063
13,JANKOWSKI,33866
14,KWIATKOWSKI,32571
15,WOJCIECHOWSKI,32209
16,KRAWCZYK,31072
17,KACZMAREK,30454
18,PIOTROWSKI,29998
19,GRABOWSKI,28610
20,ZAJĄC,27535
21,PAWŁOWSKI,27219
22,KRÓL,27017
23,MICHALSKI,26602
24,WRÓBEL,25127
25,WIECZOREK,24731
26,JABŁOŃSKI,24588
27,NOWAKOWSKI,24161
28,MAJEWSKI,24083
29,OLSZEWSKI,23714
30,DUDEK,23155
31,STĘPIEŃ,23105
32,JAWORSKI,23046
33,ADAMCZYK,22972
34,MALINOWSKI,22911
35,GÓRSKI,22265
36,PAWLAK,22201
37,NOWICKI,22156
38,SIKORA,22078
39,WITKOWSKI,21678
40,RUTKOWSKI,21497
41,WALCZAK,21403
42,BARAN,21069
43,MICHALAK,20766
44,SZEWCZYK,20569
45,OSTROWSKI,20448
46,TOMASZEWSKI,19661
47,ZALEWSKI,19353
48,WRÓBLEWSKI,19122
49,PIETRZAK,18889
50,JASIŃSKI,18780
51,MARCINIAK,18525
52,SADOWSKI,18463
53,BĄK,18404
54,ZAWADZKI,18354
55,DUDA,18345
56,JAKUBOWSKI,18200
57,WILK,17637
58,CHMIELEWSKI,17504
59,BORKOWSKI,17222
60,WŁODARCZYK,17178
61,SOKOŁOWSKI,16850
62,SZCZEPAŃSKI,16788
63,SAWICKI,16696
64,LIS,16525
65,KUCHARSKI,16087
66,KALINOWSKI,15850
67,WYSOCKI,15813
68,MAZUREK,15788
69,KUBIAK,15710
70,MACIEJEWSKI,15682
71,KOŁODZIEJ,15253
72,KAŹMIERCZAK,14851
73,CZARNECKI,14705
74,SOBCZAK,14206
75,KONIECZNY,14180
76,KRUPA,14039
77,GŁOWACKI,13907
78,URBAŃSKI,13852
79,MRÓZ,13801
80,WASILEWSKI,13690
81,ZAKRZEWSKI,13686
82,KRAJEWSKI,13645
83,LASKOWSKI,13529
84,SIKORSKI,13499
85,ZIÓŁKOWSKI,13392
86,GAJEWSKI,13271
87,SZULC,13234
88,MAKOWSKI,13214
89,KACZMARCZYK,13054
90,BRZEZIŃSKI,13002
91,BARANOWSKI,12960
92,KOZAK,12829
93,PRZYBYLSKI,12808
94,SZYMCZAK,12749
95,KANIA,12743
96,JANIK,12700
97,BŁASZCZYK,12676
98,BOROWSKI,12674
99,ADAMSKI,12633
100,GÓRECKI,12558
101,SZCZEPANIAK,12476
102,CHOJNACKI,12362
103,KOZIOŁ,12234
104,LESZCZYŃSKI,12202
105,MUCHA,12194
106,LIPIŃSKI,12183
107,CZERWIŃSKI,12171
108,KOWALEWSKI,12167
109,ANDRZEJEWSKI,12120
110,WESOŁOWSKI,12048
111,MIKOŁAJCZYK,12009
112,ZIĘBA,11851
113,CIEŚLAK,11834
114,JAROSZ,11830
115,MUSIAŁ,11650
116,KOWALIK,11623
117,MARKOWSKI,11567
118,KOŁODZIEJCZYK,11467
119,KOPEĆ,11377
120,BRZOZOWSKI,11292
121,NOWACKI,11183
122,PIĄTEK,11167
123,ŻAK,11154
124,DOMAŃSKI,11121
125,ORŁOWSKI,11085
126,PAWLIK,11054
127,KUREK,11001
128,CIESIELSKI,10949
129,TOMCZYK,10925
130,TOMCZAK,10915
131,WÓJTOWICZ,10876
132,WAWRZYNIAK,10769
133,KOT,10743
134,POLAK,10595
135,KRUK,10588
136,WOLSKI,10554
137,MARKIEWICZ,10499
138,SOWA,10480
139,STASIAK,10238
140,JASTRZĘBSKI,10198
141,STANKIEWICZ,10147
142,KARPIŃSKI,10132
143,URBANIAK,10088
144,KLIMEK,9963
145,ŁUCZAK,9951
146,PIASECKI,9941
147,CZAJKOWSKI,9888
148,WIERZBICKI,9851
149,NAWROCKI,9835
150,GAJDA,9789
151,BEDNAREK,9590
152,BIELECKI,9586
153,DZIEDZIC,9581
154,STEFAŃSKI,9575
155,MADEJ,9536
156,JANICKI,9484
157,MILEWSKI,9460
158,SOSNOWSKI,9369
159,SKIBA,9356
160,KOWAL,9329
161,LEŚNIAK,9289
162,MAJCHRZAK,9281
163,MAJ,9277
164,JÓŹWIAK,9262
165,URBAN,9187
166,ŚLIWIŃSKI,9101
167,MAŁECKI,9073
168,SOCHA,9024
169,MAREK,9003
170,DOMAGAŁA,8979
171,BEDNARCZYK,8961
172,KASPRZAK,8818
173,WRONA,8809
174,DOBROWOLSKI,8775
175,PAJĄK,8710
176,MATUSZEWSKI,8708
177,MICHALIK,8707
178,RATAJCZAK,8636
179,OLEJNICZAK,8579
180,ORZECHOWSKI,8535
181,WILCZYŃSKI,8509
182,ROMANOWSKI,8493
183,ŚWIĄTEK,8483
184,KUROWSKI,8457
185,OLEJNIK,8295
186,GRZELAK,8279
187,ŁUKASIK,8262
188,ROGOWSKI,8259
189,OWCZAREK,8229
190,MAZURKIEWICZ,8221
191,BUKOWSKI,8201
192,SROKA,8157
193,SOBOLEWSKI,8111
194,BARAŃSKI,8064
195,KOSIŃSKI,8055
196,KĘDZIERSKI,8009
197,RYBAK,7935
198,MARSZAŁEK,7934
199,ZYCH,7923
200,BEDNARZ,7915
201,SOBCZYK,7832
202,SKOWROŃSKI,7815
203,MATUSIAK,7805
204,MARCINKOWSKI,7801
205,LISOWSKI,7757
206,CHRZANOWSKI,7756
207,KOZIEŁ,7746
208,ŚWIDERSKI,7722
209,KASPRZYK,7668
210,BEDNARSKI,7654
211,BIAŁEK,7630
212,PLUTA,7582
213,WITEK,7573
214,KWIECIEŃ,7556
215,KUCZYŃSKI,7549
216,GRZYBOWSKI,7501
217,PALUCH,7498
218,JANISZEWSKI,7482
219,TUREK,7475
220,CHMIEL,7472
221,MUSZYŃSKI,7469
222,CZAJKA,7456
223,JĘDRZEJEWSKI,7455
224,MORAWSKI,7431
225,MARCZAK,7426
226,MAŁEK,7330
227,MARZEC,7307
228,KACZOR,7301
229,ŚLIWA,7265
230,ŻUKOWSKI,7260
231,KUBICKI,7253
232,CZAJA,7241
233,PIEKARSKI,7234
234,CZECH,7174
235,SZCZĘSNY,7162
236,OSIŃSKI,7108
237,PRZYBYSZ,7079
238,KRZEMIŃSKI,7068
239,KULESZA,7058
240,JANOWSKI,7052
241,STEFANIAK,7042
242,GOŁĘBIEWSKI,7037
243,BIERNACKI,7012
244,LECH,6968
245,RAK,6952
246,SMOLIŃSKI,6950
247,SZYDŁOWSKI,6940
248,STANISZEWSKI,6917
249,LEWICKI,6914
250,SERAFIN,6909
251,BANACH,6908
252,KUJAWA,6898
253,MICHAŁOWSKI,6895
254,CIEŚLIK,6888
255,GÓRA,6887
256,KACPRZAK,6863
257,MURAWSKI,6859
258,POPŁAWSKI,6842
259,STACHOWIAK,6808
260,PIETRZYK,6786
261,DĘBSKI,6782
262,RUDNICKI,6767
263,PIĄTKOWSKI,6736
264,ŻUREK,6733
265,GÓRNY,6675
266,GÓRKA,6672
267,BANAŚ,6661
268,ZAWADA,6660
269,NIEMIEC,6658
270,KARCZEWSKI,6643
271,PODGÓRSKI,6634
272,MATYSIAK,6617
273,ŻURAWSKI,6603
274,SOWIŃSKI,6581
275,KLIMCZAK,6578
276,CZYŻ,6571
277,GOŁĘBIOWSKI,6548
278,ROSIŃSKI,6531
279,BIENIEK,6502
280,KUŚ,6488
281,DROZD,6435
282,GRUSZKA,6434
283,GODLEWSKI,6432
284,SKRZYPCZAK,6409
285,AUGUSTYNIAK,6406
286,KRAWIEC,6393
287,GROCHOWSKI,6371
288,PANEK,6357
289,PTAK,6353
290,PRZYBYŁA,6322
291,GIL,6257
292,KOMOROWSKI,6241
293,WINIARSKI,6215
294,RÓŻAŃSKI,6206
295,KONOPKA,6199
296,SIWEK,6145
297,SŁOWIK,6142
298,CYBULSKI,6141
299,KULIK,6106
300,LEŚNIEWSKI,6098
301,GRZYB,6075
302,SZCZEPANIK,6074
303,KŁOS,6061
304,KRZYŻANOWSKI,6061
305,CICHOŃ,6032
306,ZARZYCKI,6018
307,ZAREMBA,6008
308,GRACZYK,5995
309,TOKARSKI,5988
310,MIELCZAREK,5973
311,KACZYŃSKI,5959
312,MŁYNARCZYK,5945
313,MIKOŁAJCZAK,5919
314,STAŃCZYK,5882
315,STRZELECKI,5878
316,CICHOCKI,5876
317,SZOSTAK,5876
318,SZYMCZYK,5876
319,BUCZEK,5874
320,BIERNAT,5853
321,WĘGRZYN,5852
322,JUREK,5837
323,MAĆKOWIAK,5795
324,SZCZYGIEŁ,5788
325,SKOWRON,5786
326,GĄSIOR,5783
327,BARTKOWIAK,5781
328,JANUS,5779
329,BOGUSZ,5750
330,CIEŚLA,5725
331,FILIPIAK,5722
332,GAWRON,5718
333,KALETA,5685
334,JANIAK,5672
335,NIEWIADOMSKI,5657
336,KUCHARCZYK,5638
337,RZEPKA,5635
338,KULA,5630
339,KOSTRZEWA,5628
340,KUBIK,5624
341,PAŁKA,5618
342,KSIĄŻEK,5603
343,RAKOWSKI,5600
344,BAGIŃSKI,5587
345,SIENKIEWICZ,5578
346,GAWLIK,5563
347,RÓŻYCKI,5532
348,ANTCZAK,5486
349,FRĄCZEK,5478
350,BARTCZAK,5477
351,MALEC,5470
352,ZARĘBA,5469
353,BANASIAK,5422
354,TRZCIŃSKI,5411
355,ŻEBROWSKI,5391
356,KRÓLIKOWSKI,5388
357,ROGALSKI,5370
358,DŁUGOSZ,5356
359,HAJDUK,5354
360,MIKULSKI,5335
361,ROGALA,5314
362,ROJEK,5269
363,LACH,5264
364,BOREK,5259
365,TKACZYK,5251
366,KISIEL,5248
367,GRZEGORCZYK,5238
368,TROJANOWSKI,5224
369,GAWROŃSKI,5208
370,STEC,5205
371,WITCZAK,5190
372,DOBOSZ,5184
373,MALISZEWSKI,5179
374,WĄSIK,5167
375,WOLNY,5165
376,RYBICKI,5162
377,RADOMSKI,5142
378,ŚLUSARCZYK,5137
379,MIKA,5101
380,KMIECIK,5045
381,BIAŁAS,5042
382,ZABOROWSKI,5037
383,PAWELEC,5020
384,GAŁĄZKA,5017
385,WALKOWIAK,5011
386,GRZESIAK,5010
387,KACZOROWSKI,5007
388,BOGUCKI,4990
389,LIPSKI,4987
390,SOKÓŁ,4982
391,FRANKOWSKI,4959
392,WNUK,4959
393,FRĄCKOWIAK,4958
394,BOCHENEK,4933
395,CICHY,4932
396,KARWOWSKI,4925
397,ZYGMUNT,4913
398,KWAŚNIEWSKI,4884
399,NAWROT,4869
400,WÓJCICKI,4868
401,ŻMUDA,4866
402,WIĘCKOWSKI,4865
403,JUSZCZAK,4844
404,DUDZIŃSKI,4833
405,JANAS,4812
406,PIETRAS,4805
407,GAWEŁ,4796
408,MROCZEK,4776
409,PASTERNAK,4759
410,SKRZYPEK,4747
411,LASOTA,4739
412,ROSIAK,4739
413,WOJTCZAK,4733
414,ŁAPIŃSKI,4729
415,KOŁODZIEJSKI,4728
416,JĘDRZEJCZYK,4725
417,MISIAK,4722
418,WROŃSKI,4713
419,KARAŚ,4709
420,PIÓRKOWSKI,4709
421,KRYSIAK,4705
422,BURZYŃSKI,4704
423,BUJAK,4702
424,FIJAŁKOWSKI,4702
425,DĄBEK,4685
426,CZYŻEWSKI,4679
427,GRUSZCZYŃSKI,4669
428,KUBACKI,4669
429,PIWOWARCZYK,4645
430,GUTOWSKI,4638
431,MASŁOWSKI,4612
432,SOŁTYS,4606
433,BOROWIEC,4605
434,SZAFRAŃSKI,4605
435,JAGODZIŃSKI,4590
436,ŁUKASZEWSKI,4586
437,STELMACH,4583
438,KAŁUŻNY,4580
439,ZAJĄCZKOWSKI,4574
440,TARNOWSKI,4573
441,JAGIEŁŁO,4565
442,ZIELONKA,4563
443,CEBULA,4547
444,ŁUKASIEWICZ,4543
445,LISIECKI,4542
446,BIELAWSKI,4540
447,KAŁUŻA,4539
448,WOŹNY,4533
449,CYGAN,4532
450,PILARSKI,4518
451,KRAKOWIAK,4514
452,JURKIEWICZ,4512
453,SKIBIŃSKI,4503
454,SKOCZYLAS,4491
455,DRZEWIECKI,4487
456,SZCZEŚNIAK,4486
457,WILCZEK,4485
458,FALKOWSKI,4481
459,PAKUŁA,4480
460,BOBER,4467
461,FILIPEK,4466
462,JĘDRZEJCZAK,4463
463,KĘDZIORA,4440
464,SOBIERAJ,4436
465,JAKUBIAK,4424
466,GĄSIOROWSKI,4419
467,STRZELCZYK,4415
468,DĘBOWSKI,4413
469,TWARDOWSKI,4401
470,FLIS,4396
471,RACZYŃSKI,4371
472,KUBICA,4356
473,GOŁĄB,4348
474,WASIAK,4348
475,MIERZEJEWSKI,4346
476,STANEK,4332
477,GUZIK,4322
478,GÓRNIAK,4317
479,GÓRAL,4313
480,WIĘCEK,4312
481,BARTOSIK,4297
482,KULIG,4297
483,MAJCHER,4293
484,WOLAK,4291
485,MATUSZAK,4254
486,MOTYKA,4246
487,DROZDOWSKI,4240
488,GRZYWACZ,4236
489,SZWED,4235
490,BILSKI,4230
491,RUSIN,4230
492,NOWACZYK,4222
493,CHOLEWA,4216
494,CZAPLA,4206
495,BURY,4204
496,DZIUBA,4202
497,WOJTAS,4190
498,STOLARCZYK,4189
499,FLOREK,4184
500,KOPCZYŃSKI,4180
501,KRUPIŃSKI,4175
502,PACZKOWSKI,4175
503,URBAŃCZYK,4175
504,PYTEL,4164
505,KASZUBA,4159
506,JAŚKIEWICZ,4148
507,MICHAŁEK,4148
508,PROKOP,4131
509,KUC,4128
510,GWÓŹDŹ,4127
511,MISZTAL,4124
512,RUCIŃSKI,4120
513,MALICKI,4114
514,DUBIEL,4106
515,BIELAK,4105
516,ZAGÓRSKI,4100
517,ANDRZEJCZAK,4099
518,JANKOWIAK,4093
519,BIAŁY,4087
520,STASZEWSKI,4075
521,BOŻEK,4074
522,CISZEWSKI,4069
523,SIEDLECKI,4062
524,KUCHTA,4061
525,SŁOWIŃSKI,4061
526,KĘPA,4049
527,MODZELEWSKI,4048
528,ŚWIERCZYŃSKI,4046
529,PARTYKA,4045
530,KACZMARSKI,4043
531,PŁONKA,4043
532,SKÓRA,4040
533,ZWOLIŃSKI,4032
534,JANUSZ,4031
535,BIEŃKOWSKI,4025
536,GAŁKA,4021
537,SIERADZKI,4017
538,KAPUSTA,4006
539,MILCZAREK,4003
540,STACHURA,3984
541,JURKOWSKI,3983
542,SOCHACKI,3979
543,SZYSZKA,3966
544,SŁAWIŃSKI,3965
545,SZCZERBA,3965
546,JEZIERSKI,3963
547,STĘPNIAK,3961
548,PAWLIKOWSKI,3958
549,SITEK,3946
550,JACKOWSKI,3928
551,WOŚ,3923
552,KOLASA,3918
553,IWAŃSKI,3910
554,ROSA,3908
555,OLCZAK,3906
556,CHMURA,3905
557,LIPKA,3902
558,DUDZIK,3894
559,MROCZKOWSKI,3891
560,MAŃKOWSKI,3880
561,MAJKA,3879
562,MAŚLANKA,3877
563,KNAPIK,3874
564,BRODA,3872
565,DEC,3870
566,KWIECIŃSKI,3868
567,SKALSKI,3859
568,NOGA,3852
569,SZATKOWSKI,3829
570,TRZECIAK,3819
571,KOZA,3811
572,KITA,3809
573,KOGUT,3803
574,TOKARZ,3801
575,SALAMON,3796
576,FLORCZAK,3788
577,CHOJNOWSKI,3784
578,KOWALCZUK,3783
579,DUDZIAK,3780
580,MOLENDA,3773
581,WYSZYŃSKI,3773
582,MROZEK,3770
583,DOBRZYŃSKI,3768
584,STANISŁAWSKI,3768
585,LENART,3764
586,WŁODARSKI,3761
587,PASZKOWSKI,3760
588,KIEŁBASA,3758
589,MICHALCZYK,3757
590,PUCHALSKI,3757
591,KOTOWSKI,3754
592,SKOWRONEK,3753
593,KOBUS,3751
594,KOŁAKOWSKI,3750
595,KRUSZEWSKI,3744
596,BUCZYŃSKI,3743
597,ZDUNEK,3741
598,JANUSZEWSKI,3722
599,KAWA,3704
600,CHUDY,3701
601,DOMINIAK,3701
602,ŻUK,3697
603,CZECHOWSKI,3684
604,WARCHOŁ,3670
605,GRZESIK,3666
606,ADAMUS,3660
607,ADAMCZAK,3658
608,PILCH,3655
609,PIECHOTA,3654
610,ROBAK,3652
611,AUGUSTYN,3640
612,KOS,3638
613,KŁOSOWSKI,3629
614,MACIĄG,3629
615,ADAMEK,3625
616,WIĄCEK,3621
617,STOLARSKI,3614
618,GŁOGOWSKI,3611
619,CHUDZIK,3609
620,JAGIELSKI,3607
621,RYŚ,3603
622,JURCZAK,3602
623,BĄKOWSKI,3599
624,KOPER,3590
625,PRZYBYŁ,3587
626,KALISZ,3585
627,FILIPOWICZ,3582
628,ŻYŁA,3582
629,BANASIK,3581
630,TOMALA,3574
631,SURMA,3572
632,KUŹMA,3565
633,JARZĄBEK,3564
634,MARCHEWKA,3564
635,NIEDŹWIECKI,3562
636,RUDZIŃSKI,3562
637,PORĘBSKI,3558
638,KASPEREK,3556
639,BUDZYŃSKI,3545
640,DĄBKOWSKI,3545
641,STAŃCZAK,3540
642,OLEKSY,3531
643,SOŁTYSIAK,3522
644,RUDNIK,3521
645,PIŁAT,3516
646,KANIEWSKI,3513
647,NIEMCZYK,3507
648,KOPACZ,3506
649,WYPYCH,3505
650,JAROS,3502
651,BUCZKOWSKI,3500
652,PRUS,3497
653,ZIĘTEK,3497
654,MALIK,3493
655,GADOMSKI,3492
656,GORCZYCA,3490
657,MIŚKIEWICZ,3486
658,MOSKAL,3486
659,TRACZ,3466
660,SZELĄG,3463
661,GOLEC,3454
662,KUCIŃSKI,3449
663,BARTNIK,3448
664,TRELA,3432
665,DRABIK,3431
666,WOLIŃSKI,3422
667,BALCERZAK,3421
668,KORZENIOWSKI,3420
669,SOJKA,3417
670,KRUCZEK,3403
671,BŁASZCZAK,3393
672,GŁĄB,3389
673,WARZECHA,3389
674,RYBARCZYK,3386
675,SZYMKOWIAK,3383
676,STACHOWICZ,3381
677,PIOTROWICZ,3379
678,DRÓŻDŻ,3378
679,MAGIERA,3378
680,ZABŁOCKI,3376
681,SĘK,3374
682,STACHURSKI,3372
683,OSSOWSKI,3369
684,ŚLĘZAK,3368
685,KUJAWSKI,3366
686,RADECKI,3366
687,FRĄTCZAK,3361
688,PIETRUSZKA,3360
689,PELC,3357
690,BUDZIŃSKI,3356
691,JURCZYK,3356
692,ADAMIAK,3353
693,RUDZKI,3353
694,BIAŁKOWSKI,3342
695,LESIAK,3330
696,SZUBA,3329
697,ZIMNY,3321
698,KMIEĆ,3315
699,NIEDZIELSKI,3310
700,KULIŃSKI,3309
701,WOŹNICA,3307
702,KOZIK,3306
703,KRAKOWSKI,3303
704,KOSTECKI,3302
705,BIELSKI,3300
706,PEŁKA,3296
707,KOSOWSKI,3294
708,MIERZWA,3291
709,ŚWIDER,3291
710,ROMAN,3286
711,GRUDZIEŃ,3282
712,BIELIŃSKI,3281
713,OLCZYK,3280
714,TOMASIK,3274
715,BANASZEK,3272
716,SKORUPA,3270
717,SOBOTA,3270
718,ADAMOWICZ,3268
719,POLAŃSKI,3265
720,WOJTASIK,3263
721,STAWICKI,3254
722,GUT,3253
723,PAWLICKI,3249
724,WOŁOSZYN,3249
725,FURMAN,3247
726,GRZEŚKOWIAK,3246
727,SOBAŃSKI,3240
728,SEKUŁA,3239
729,URBANEK,3234
730,CZEKAJ,3228
731,ŚMIGIELSKI,3221
732,KAWECKI,3214
733,POGORZELSKI,3205
734,ROMANIUK,3199
735,PIWOWARSKI,3185
736,MILLER,3183
737,URBANOWICZ,3173
738,CZERNIAK,3169
739,TOKARCZYK,3165
740,WOJTKOWIAK,3165
741,LITWIN,3161
742,LORENC,3153
743,PIĘTKA,3151
744,BOGACZ,3149
745,KĘDZIOR,3141
746,LISZKA,3140
747,SZWARC,3133
748,ŻUCHOWSKI,3133
749,BISKUP,3132
750,KRASOWSKI,3128
751,JUSZCZYK,3126
752,KNAP,3125
753,ŚWIĄTKOWSKI,3123
754,MAKUCH,3117
755,SZAREK,3115
756,SZOT,3111
757,WIŚNIOWSKI,3111
758,NAPIERAŁA,3107
759,RATAJCZYK,3106
760,GRUDZIŃSKI,3103
761,GACEK,3102
762,IZDEBSKI,3101
763,KRUKOWSKI,3097
764,ROSZKOWSKI,3096
765,STUDZIŃSKI,3079
766,ŚLEDŹ,3077
767,KAWKA,3070
768,KWIATEK,3065
769,MACKIEWICZ,3063
770,HERMAN,3059
771,KARCZ,3057
772,SIWIEC,3047
773,MAŃKA,3046
774,JAKUBCZYK,3043
775,JÓŹWIK,3034
776,KUKLA,3033
777,PAPROCKI,3029
778,ROSZAK,3019
779,RYBKA,3016
780,KUSIAK,3009
781,ROŻEK,3009
782,WOJDA,3003
783,ŁUKASZEWICZ,3001
784,MAZIARZ,2999
785,DUSZYŃSKI,2997
786,BOBROWSKI,2992
787,JEZIORSKI,2992
788,RESZKA,2991
789,BORYS,2989
790,ALEKSANDROWICZ,2985
791,TKACZ,2982
792,GRZYBEK,2971
793,RUSEK,2970
794,TUROWSKI,2966
795,SMOLEŃ,2955
796,KRASZEWSKI,2954
797,ŚPIEWAK,2952
798,FILIP,2950
799,WACH,2949
800,MAŁKOWSKI,2943
801,SIDOR,2942
802,SZKUDLAREK,2941
803,WRZESIŃSKI,2937
804,KORCZAK,2936
805,MIELCAREK,2932
806,SZELIGA,2931
807,NIEDZIELA,2928
808,SZOPA,2922
809,KRUSZYŃSKI,2918
810,KORZENIEWSKI,2915
811,GRODZKI,2914
812,HOFFMANN,2914
813,KRÓLAK,2910
814,SZCZUREK,2910
815,WERNER,2910
816,KĘPKA,2906
817,WAJDA,2905
818,PĘKALA,2898
819,STASZAK,2898
820,DROŻDŻ,2894
821,KOSMALA,2892
822,GRABARCZYK,2891
823,BUGAJSKI,2885
824,OLECH,2882
825,PIECH,2881
826,SZYMANEK,2876
827,GĄSIOREK,2872
828,MAJKOWSKI,2872
829,KULPA,2869
830,RZEPECKI,2865
831,PLICHTA,2863
832,LEWIŃSKI,2862
833,SUSKI,2861
834,GOLA,2859
835,LIPIEC,2857
836,PERKOWSKI,2857
837,BARTOSZEK,2843
838,KAPUŚCIŃSKI,2843
839,BOGDAŃSKI,2840
840,JAKUBIEC,2838
841,KURZAWA,2837
842,SKONIECZNY,2832
843,RADZISZEWSKI,2828
844,ROGOZIŃSKI,2821
845,KOKOSZKA,2814
846,RODAK,2803
847,SUCHECKI,2797
848,WASIELEWSKI,2796
849,ORZEŁ,2795
850,SUŁKOWSKI,2794
851,WOJTOWICZ,2789
852,WRZOSEK,2788
853,OLSZAK,2786
854,RACZKOWSKI,2786
855,PISZCZEK,2783
856,DYMEK,2782
857,OŻÓG,2781
858,ROKICKI,2781
859,SZPAK,2780
860,PASZKIEWICZ,2779
861,PISAREK,2779
862,LANGE,2778
863,KUPIEC,2776
864,KAŹMIERSKI,2774
865,SCHMIDT,2774
866,WIELGUS,2768
867,ADAMIEC,2763
868,KOZAKIEWICZ,2759
869,KOKOT,2754
870,JANCZAK,2753
871,KAWALEC,2750
872,GOLIŃSKI,2749
873,GOŁĄBEK,2748
874,ZAPAŁA,2746
875,WYRZYKOWSKI,2744
876,GŁADYSZ,2742
877,RÓG,2742
878,OSOWSKI,2740
879,STOKŁOSA,2734
880,JASKULSKI,2732
881,BUGAJ,2729
882,BRODOWSKI,2727
883,BARSZCZ,2725
884,BANASZAK,2722
885,BIAŁECKI,2719
886,WOJTASZEK,2719
887,BIELA,2718
888,CHROBAK,2717
889,ŚWIERCZEK,2711
890,ROMAŃSKI,2710
891,BRZESKI,2707
892,MATUSIK,2707
893,SZYMANOWSKI,2707
894,BOJARSKI,2706
895,KOPROWSKI,2705
896,GARBACZ,2703
897,MACH,2701
898,LASEK,2695
899,KONARSKI,2693
900,MĄCZKA,2693
901,PLEWA,2692
902,POTOCKI,2692
903,GRUCA,2691
904,PIERZCHAŁA,2687
905,SUDOŁ,2685
906,NOWIŃSKI,2683
907,SOLECKI,2683
908,SMOLAREK,2682
909,KAROLAK,2679
910,LOREK,2678
911,KOCHAŃSKI,2677
912,GABRYŚ,2676
913,KOSTKA,2668
914,PŁATEK,2663
915,BALICKI,2662
916,SZCZYGIELSKI,2660
917,PISKORZ,2658
918,KALIŃSKI,2657
919,AMBROZIAK,2655
920,JAMRÓZ,2654
921,SUROWIEC,2651
922,WASZKIEWICZ,2651
923,PUCHAŁA,2645
924,CZARNOTA,2644
925,ŁACH,2644
926,TRACZYK,2643
927,BILIŃSKI,2641
928,PIECHOCKI,2640
929,PANASIUK,2633
930,PASZEK,2627
931,SALA,2627
932,DZIKOWSKI,2621
933,KOLASIŃSKI,2615
934,WÓJCIAK,2615
935,BURDA,2614
936,WŁOCH,2612
937,ŚWITAŁA,2610
938,ZBOROWSKI,2610
939,BUREK,2609
940,PASEK,2606
941,WDOWIAK,2604
942,NGUYEN,2603
943,PIĘTA,2603
944,WAGNER,2602
945,KEMPA,2598
946,OKOŃ,2598
947,BIEL,2597
948,BARON,2596
949,BERNAT,2591
950,WALCZYK,2591
951,DOLATA,2588
952,SZYMANIAK,2587
953,MĄDRY,2585
954,GRELA,2584
955,KRAUZE,2583
956,BŁOŃSKI,2575
957,BATOR,2573
958,OLEŚ,2572
959,SKWAREK,2572
960,ZAWISTOWSKI,2572
961,WACHOWIAK,2569
962,STACHOWSKI,2568
963,FIGURA,2567
964,JAROSZEWSKI,2565
965,MODRZEJEWSKI,2564
966,STENCEL,2563
967,OSUCH,2561
968,ADAMCZEWSKI,2558
969,OGÓREK,2557
970,CIOŁEK,2552
971,DZIURA,2552
972,KAPICA,2550
973,FERENC,2549
974,ZARĘBSKI,2546
975,GAZDA,2541
976,GÓRALCZYK,2541
977,FRANCZAK,2540
978,CICHOSZ,2538
979,JEDYNAK,2538
980,ŁOŚ,2538
981,MULARCZYK,2538
982,STĘPNIEWSKI,2537
983,MIŚ,2535
984,MROWIEC,2535
985,WĄSOWSKI,2535
986,WEBER,2535
987,WALIGÓRA,2534
988,PARADOWSKI,2529
989,GROBELNY,2527
990,PÓŁTORAK,2527
991,LACHOWICZ,2523
992,KOŚCIELNIAK,2522
993,MIECZKOWSKI,2522
994,DUTKIEWICZ,2521
995,ĆWIK,2518
996,DOLIŃSKI,2516
997,KOŁODZIEJCZAK,2514
998,BOGDAN,2513
999,BROŻEK,2513
1000,KWAŚNY,2510
1001,MYŚLIWIEC,2508
1002,MAJDA,2506
1003,OZGA,2506
1004,GRABSKI,2505
1005,JASKÓLSKI,2505
1006,KOZYRA,2505
1007,GRYGIEL,2502
1008,NADOLNY,2502
1009,ŁAWNICZAK,2501
1010,ZAWISZA,2501
1011,KOZERA,2500
1012,BARTNICKI,2498
1013,DRĄG,2498
1014,GAŁECKI,2497
1015,WIELGOSZ,2491
1016,BOROŃ,2488
1017,MELNYK,2485
1018,MŁYNARSKI,2484
1019,BERNACKI,2479
1020,KLIMAS,2479
1021,KRASKA,2479
1022,LEMAŃSKI,2479
1023,KOCHANOWSKI,2478
1024,KOZICKI,2478
1025,KULAS,2475
1026,WNĘK,2474
1027,GAJ,2473
1028,NALEPA,2469
1029,SZWEDA,2468
1030,KULIKOWSKI,2466
1031,MIREK,2464
1032,SITKO,2460
1033,CZUBA,2458
1034,BIEŃ,2456
1035,STOPA,2456
1036,KOSTRZEWSKI,2455
1037,SZADKOWSKI,2455
1038,SZCZEPANEK,2453
1039,NADOLSKI,2452
1040,SOBOŃ,2448
1041,TABOR,2447
1042,WINNICKI,2447
1043,ĆWIKLIŃSKI,2444
1044,KĄKOL,2443
1045,FLAK,2441
1046,PRZYBYSZEWSKI,2439
