name,amount
JOSEF,470
SERGEI,464
ZENOBIUSZ,464
DMITRII,463
FERNANDO,462
DAVIDE,461
PATRIK,460
JEAN,458
EDUARDO,456
OLEKSIY,454
DAN,453
CEZARIUSZ,451
TYCJAN,451
GEORG,448
PEDRO,446
MIKE,445
STANISLAU,444
JURAND,443
HENADZI,442
IRAKLI,439
JUREK,433
TOMAS,433
VALENTIN,433
HEINZ,431
JOHANNES,425
OTTO,425
FRANCISCO,423
OSTAP,422
TIMOTHY,422
ENGELBERT,419
MYRON,419
RUSTAM,418
NICO,417
CHARLES,416
ETHAN,415
SERAFIN,415
WIACZESŁAW,415
GNIEWKO,412
KRYSTYN,412
APOLINARY,411
TIMUR,409
FEDERICO,408
RAYAN,407
AHMET,405
JASON,405
EWARYST,404
LOUIS,402
SYLWERIUSZ,402
WIEŃCZYSŁAW,402
DITER,401
PHILIPPE,401
KRZESIMIR,400
MICHELE,400
ANDREY,399
GWIDON,398
OKTAWIUSZ,396
WITALIS,391
JACK,388
STEPHEN,388
EMMANUEL,387
AMIT,384
JURIJ,384
PAOLO,384
SAMBOR,384
JAVIER,383
MAKARY,383
KONSTANTIN,382
BASTIAN,376
RAJNARD,375
REINHARD,373
SANTIAGO,373
ISMAIL,372
LORENZO,372
FELICJAN,370
KANSTANTSIN,369
RUFIN,369
XAWERY,369
LUDOMIR,366
ROBIN,365
ILIA,361
ZAKHAR,358
NICOLAI,357
HIPOLIT,354
PHILLIP,354
DMITRY,353
PETR,353
TYBERIUSZ,352
NOEL,351
ARMEN,350
OSWALD,350
SEAN,349
WITALIJ,349
HASAN,348
MARTYN,348
VITALIE,347
OMER,343
VEACESLAV,343
BRANDON,341
CLAUDIO,340
AHMAD,339
ALEKSEI,338
IEVGENII,338
FRANEK,337
MARCELO,337
BEN,336
LUKA,335
NORMAN,335
WADIM,335
SVEN,334
GREGORY,333
ELIAS,331
PETRU,331
HLIB,330
MIROSLAV,328
LARS,327
LEVAN,327
SIMONE,327
YAHOR,324
WASYL,323
MURAT,322
SEMEN,322
NIKO,320
MAXIME,319
PIERRE,318
WINICJUSZ,317
DANYIL,316
SYLWIUSZ,316
ANDRÉ,314
MAMUKA,313
GEORGIOS,311
ARMAND,308
DENIZ,306
LEV,305
LASHA,302
ALEXEY,301
DOBROMIR,301
HARRY,301
OLEKSANDER,301
ZURAB,301
RAPHAEL,300
ALEXEI,299
BAZYL,299
JOSÉ,299
APOLONIUSZ,298
MEDARD,296
DMITRI,295
MARIUS,295
NIKOLAY,295
MATHIAS,294
ROY,294
ABDUL,292
ARIAN,292
STEFANO,292
JEREMY,291
YAUHEN,291
ALON,289
JÜRGEN,289
ZAZA,289
ANDRE,285
CONRAD,282
DASTIN,282
IURIE,282
WINCENT,282
YUVAL,282
JONAS,281
WITOSŁAW,281
GABRIELE,279
RODION,278
RICCARDO,275
ANTOINE,274
SAMI,273
NATANAEL,272
TOMER,272
DMYTRII,271
TIM,271
IDO,269
JAREMA,267
VALERIU,267
EMRE,266
DANIELE,265
DARIO,265
EYAL,264
RALF,264
THEO,264
AMBROŻY,263
JOHANN,261
GENNADII,258
JENS,258
KAREN,258
LEW,258
ALEKSANDAR,257
GILBERT,257
GOCHA,255
GREGOR,255
SIERGIEJ,255
ABRAHAM,254
MAKAR,252
RAUL,252
GAWEŁ,250
NIKOLAI,250
MAHMOUD,249
TAL,249
LEANID,248
MOSHE,248
RADEK,248
ALEK,247
MAGOMED,247
VALIANTSIN,246
DOBIESŁAW,245
ERICH,245
KIRILL,245
ANATOLIE,243
GOTFRYD,243
TELESFOR,243
VYACHESLAV,243
GÜNTER,242
RENE,242
GNIEWOSZ,241
SOBIESŁAW,241
TOMÁŠ,241
CHRISTOPHE,240
KAJ,240
TEO,240
MATEO,239
RADZISŁAW,239
VAN,239
NIKOLA,238
PAULO,238
SŁAWEK,238
CELESTYN,237
NESTOR,237
GUSTAVO,236
BERND,234
BRAIAN,233
MOHAMAD,233
UWE,233
ABDULLAH,232
GEORGI,232
ARSENII,231
DOBROSŁAW,231
ERHARD,231
LUIGI,231
NOAM,231
YUSUF,231
FRANZ,230
ANTONY,229
ARKADII,229
YOAV,229
NIKOLAOS,227
SALVATORE,227
ANDRES,226
ARMAN,226
NICOLA,226
ALEKSANDRE,225
DAMAZY,225
YEVGEN,224
BERNHARD,223
FELIPE,223
CHRISTOS,222
LUKE,222
RODRIGO,222
MODEST,221
PASKAL,221
PIETRO,221
RAINER,221
ITAY,219
JULIEN,218
OLEK,218
KIRIL,217
ENRICO,216
JOÃO,216
MASSIMO,216
ISRAEL,215
MATHIEU,214
ANDREJ,212
DIRK,212
GORAN,212
DARIUS,211
FRANCIS,210
MARCOS,210
MARIN,210
DIMITRIOS,209
HASSAN,209
SANDRO,209
VIOREL,209
DAMIR,208
BOŻYDAR,207
MATIAS,207
ORI,207
ANGEL,206
HEINRICH,206
CARLO,205
LOTAR,203
RAMI,203
RON,203
VASIL,202
VINCENZO,202
ISLAM,201
WILLI,201
EUGEN,200
KONSTANTINOS,200
ZINOVII,199
BURAK,198
DEMIAN,198
EVGENII,198
MAIK,198
WOJTEK,198
DMITRIJ,197
ALESSIO,196
MATTIA,196
MAURO,196
NOE,196
DYONIZY,195
EMIR,195
ISAAC,194
JAROSLAV,194
YAKIV,194
VALERI,192
MERT,191
NIR,191
STANISLAW,191
DANIL,189
EGON,189
DACJAN,188
JOZEF,188
MIŁOSŁAW,188
SAJMON,188
BEKA,187
JEFFREY,187
ONUR,187
STANLEY,187
YOUSSEF,187
IOANNIS,186
JÖRG,186
NIKOS,186
URBAN,186
ADRIANO,185
GELA,185
ULRICH,185
NADAV,184
STEPHAN,184
MINH,183
YOSYP,183
DOMENICO,182
DONALD,182
MAXIMILLIAN,182
OTTON,182
BARNABA,181
ALVARO,179
ARMANDO,179
JANISŁAW,179
MARYAN,179
GHENADIE,178
GUIDO,178
LIOR,178
YARASLAU,178
ENRIQUE,177
GAL,177
HEKTOR,177
MIKOLAJ,177
OSMAN,177
CEZAR,176
JOHAN,176
MIKHEIL,176
ANDRIAN,175
ARTIOM,175
MUHAMMED,175
MIHAI,174
GERALD,173
GRIGORE,173
OMRI,173
ARTSEM,172
EVGENY,171
KHALED,171
MIKAEL,171
PAATA,171
TIAGO,171
TONY,171
URI,171
VALENTINO,171
CARL,170
DIMITRI,170
RENÉ,170
ELDAR,169
KOSTYANTYN,169
SAID,169
ARAM,168
DAMIEN,168
IDAN,168
FIODOR,167
KILIAN,167
PAWEL,167
SATURNIN,167
ÖMER,166
SCOTT,166
DUSTIN,165
GUILLAUME,165
ERAN,164
JAIME,164
HAMZA,163
KENNETH,163
LAURENT,163
LEVANI,163
LOTHAR,163
TAREK,163
TORNIKE,163
KONSTANTYN,162
KYRYL,162
WENANCJUSZ,162
