,Nazwisko aktualne;Liczba
493,KULIG;4270
494,KACZMARSKA;4267
495,GOŁĄB;4260
496,SŁOWIŃSKA;4254
497,CHOLEWA;4250
498,RUCIŃSKA;4250
499,MILCZAREK;4243
500,KAŁUŻNA;4238
501,SIEDLECKA;4238
502,ZWOLIŃSKA;4231
503,GRZYWACZ;4229
504,SŁAWIŃSKA;4226
505,ZAGÓRSKA;4224
506,KASZUBA;4223
507,FLOREK;4218
508,MODZELEWSKA;4212
509,MISZTAL;4209
510,JEZIERSKA;4201
511,MOTYKA;4192
512,PACZKOWSKA;4191
513,PAWLIKOWSKA;4187
514,ANDRZEJCZAK;4185
515,STACHURA;4185
516,MICHAŁEK;4181
517,PYTEL;4167
518,JACKOWSKA;4161
519,DZIUBA;4154
520,MALICKA;4154
521,PARTYKA;4150
522,DUBIEL;4142
523,WOJTAS;4131
524,JURKOWSKA;4127
525,PROKOP;4125
526,BOŻEK;4122
527,OLCZAK;4118
528,SOCHACKA;4115
529,SIERADZKA;4114
530,BIEŃKOWSKA;4106
531,GWÓŹDŹ;4105
532,ŚWIERCZYŃSKA;4104
533,KUCHTA;4097
534,GAŁKA;4080
535,KĘPA;4077
536,SZYSZKA;4072
537,BIELAK;4062
538,KUC;4060
539,PŁONKA;4051
540,JANUSZ;4047
541,IWAŃSKA;4041
542,ROSA;4034
543,JANKOWIAK;4033
544,SZCZERBA;4023
545,SKALSKA;4021
546,KNAPIK;4019
547,KWIECIŃSKA;4012
548,WOŚ;4012
549,CHOJNOWSKA;4011
550,MROCZKOWSKA;4009
551,SKÓRA;4000
552,STĘPNIAK;3998
553,PASZKOWSKA;3987
554,KOLASA;3984
555,SITEK;3980
556,SZATKOWSKA;3974
557,KRUSZEWSKA;3964
558,BRODA;3957
559,WYSZYŃSKA;3941
560,DUDZIK;3933
561,SUSKA;3920
562,CHMURA;3916
563,MAJKA;3914
564,FLORCZAK;3912
565,DEC;3901
566,DOMINIAK;3901
567,STANISŁAWSKA;3896
568,WŁODARSKA;3894
569,LENART;3893
570,CZECHOWSKA;3890
571,KOWALCZUK;3877
572,MICHALCZYK;3876
573,PUCHALSKA;3873
574,MAŃKOWSKA;3871
575,KAPUSTA;3865
576,TOMALA;3865
577,ZDUNEK;3859
578,SALAMON;3858
579,LIPKA;3848
580,TRZECIAK;3848
581,DUDZIAK;3846
582,FILIPOWICZ;3844
583,MOLENDA;3832
584,SKOWRONEK;3830
585,JANUSZEWSKA;3821
586,KOTOWSKA;3820
587,ADAMCZAK;3813
588,GŁOGOWSKA;3812
589,MAŚLANKA;3792
590,TOKARZ;3788
591,BUCZYŃSKA;3787
592,MROZEK;3782
593,NOGA;3776
594,KAWA;3773
595,AUGUSTYN;3767
596,ZIĘTEK;3765
597,KOŁAKOWSKA;3758
598,KOBUS;3757
599,ADAMEK;3755
600,KOPER;3743
601,KOGUT;3742
602,KITA;3741
603,ADAMUS;3738
604,STOLARSKA;3738
605,DOBRZYŃSKA;3734
606,PIECHOTA;3733
607,JAGIELSKA;3725
608,BĄKOWSKA;3724
609,KANIEWSKA;3720
610,ŻUK;3718
611,PILCH;3717
612,BANASIK;3713
613,KOZA;3709
614,GORCZYCA;3708
615,NIEMCZYK;3697
616,PRZYBYŁ;3689
617,JURCZAK;3683
618,WARCHOŁ;3683
619,BUDZYŃSKA;3670
620,GRZESIK;3669
621,CHUDZIK;3653
622,MACIĄG;3650
623,RUDZIŃSKA;3650
624,WYPYCH;3644
625,MALIK;3642
626,NIEDŹWIECKA;3642
627,ROBAK;3639
628,SOŁTYSIAK;3636
629,MIŚKIEWICZ;3633
630,PORĘBSKA;3631
631,BUCZKOWSKA;3630
632,JARZĄBEK;3628
633,KUŹMA;3628
634,SOJKA;3618
635,WIĄCEK;3609
636,DRABIK;3605
637,KALISZ;3599
638,STAŃCZAK;3599
639,KŁOSOWSKA;3596
640,KASPEREK;3589
641,STACHURSKA;3585
642,ADAMOWICZ;3583
643,MARCHEWKA;3568
644,KOPACZ;3559
645,GADOMSKA;3558
646,KIEŁBASA;3558
647,BARTNIK;3556
648,PIŁAT;3551
649,GOLEC;3544
650,RUDNIK;3544
651,BIAŁKOWSKA;3530
652,SZELĄG;3530
653,OLCZYK;3527
654,SURMA;3526
655,KUCIŃSKA;3525
656,OLEKSY;3524
657,DĄBKOWSKA;3523
658,TRACZ;3523
659,BALCERZAK;3520
660,OSSOWSKA;3518
661,BŁASZCZAK;3517
662,STACHOWICZ;3510
663,MOSKAL;3507
664,RYŚ;3507
665,MAGIERA;3498
666,WOLIŃSKA;3496
667,BIELSKA;3491
668,KORZENIOWSKA;3484
669,ZABŁOCKA;3483
670,BUDZIŃSKA;3481
671,RUDZKA;3477
672,NIEDZIELSKA;3475
673,SZYMKOWIAK;3473
674,DRÓŻDŻ;3470
675,RYBARCZYK;3469
676,KOS;3462
677,ADAMIAK;3460
678,ŻYŁA;3458
679,PRUS;3454
680,JAROS;3451
681,PIETRUSZKA;3450
682,GRUDZIEŃ;3443
683,RADECKA;3441
684,WOJTKOWIAK;3431
685,PIOTROWICZ;3430
686,KOSOWSKA;3429
687,GŁĄB;3420
688,PELC;3407
689,FRĄTCZAK;3405
690,PAWLICKA;3405
691,WOŹNICA;3403
692,LESIAK;3401
693,WARZECHA;3398
694,KUJAWSKA;3396
695,ŚLĘZAK;3396
696,CZERNIAK;3395
697,TRELA;3387
698,URBANEK;3387
699,SĘK;3386
700,KOSTECKA;3384
701,JURCZYK;3383
702,BIELIŃSKA;3376
703,TOMASIK;3371
704,SOBAŃSKA;3370
705,GRZEŚKOWIAK;3367
706,SEKUŁA;3364
707,KOZIK;3362
708,KRAKOWSKA;3361
